id bigserial;origen_libro_id;origen_capitulo;origen_versiculo;destino_libro_id;destino_capitulo;destino_versiculo;llave_unica text
;41;12;10;49;2;22;41_12_10_49_2_22
;41;12;10;60;2;7;41_12_10_60_2_7
;41;12;10;60;2;8;41_12_10_60_2_8
;41;12;11;19;118;23;41_12_11_19_118_23
;41;12;11;35;1;5;41_12_11_35_1_5
;41;12;11;4;23;23;41_12_11_4_23_23
;41;12;11;44;13;40;41_12_11_44_13_40
;41;12;11;44;13;41;41_12_11_44_13_41
;41;12;11;44;2;12;41_12_11_44_2_12
;41;12;11;44;2;32;41_12_11_44_2_32
;41;12;11;44;2;36;41_12_11_44_2_36
;41;12;11;44;3;12;41_12_11_44_3_12
;41;12;11;44;3;16;41_12_11_44_3_16
;41;12;11;49;3;11;41_12_11_49_3_11
;41;12;11;49;3;8;41_12_11_49_3_8
;41;12;11;51;1;27;41_12_11_51_1_27
;41;12;11;54;3;16;41_12_11_54_3_16
;41;12;12;10;12;15;41_12_12_10_12_15
;41;12;12;10;12;7;41_12_12_10_12_7
;41;12;12;11;20;38;41_12_12_11_20_38
;41;12;12;11;20;41;41_12_12_11_20_41
;41;12;12;11;21;17;41_12_12_11_21_17
;41;12;12;11;21;27;41_12_12_11_21_27
;41;12;12;40;21;26;41_12_12_40_21_26
;41;12;12;40;21;45;41_12_12_40_21_45
;41;12;12;40;21;46;41_12_12_40_21_46
;41;12;12;40;22;22;41_12_12_40_22_22
;41;12;12;41;11;18;41_12_12_41_11_18
;41;12;12;41;11;32;41_12_12_41_11_32
;41;12;12;42;20;19;41_12_12_42_20_19
;41;12;12;42;20;6;41_12_12_42_20_6
;41;12;12;43;7;25;41_12_12_43_7_25
;41;12;12;43;7;30;41_12_12_43_7_30
;41;12;12;43;7;44;41_12_12_43_7_44
;41;12;13;19;140;5;41_12_13_19_140_5
;41;12;13;19;38;12;41_12_13_19_38_12
;41;12;13;19;56;5;41_12_13_19_56_5
;41;12;13;19;56;6;41_12_13_19_56_6
;41;12;13;23;29;21;41_12_13_23_29_21
;41;12;13;24;18;18;41_12_13_24_18_18
;41;12;13;40;16;6;41_12_13_40_16_6
;41;12;13;40;22;15;41_12_13_40_22_15
;41;12;13;40;22;22;41_12_13_40_22_22
;41;12;13;41;3;6;41_12_13_41_3_6
;41;12;13;41;8;15;41_12_13_41_8_15
;41;12;13;42;11;54;41_12_13_42_11_54
;41;12;13;42;20;20;41_12_13_42_20_20
;41;12;13;42;20;26;41_12_13_42_20_26
;41;12;14;14;18;13;41_12_14_14_18_13
;41;12;14;14;19;7;41_12_14_14_19_7
;41;12;14;15;4;12;41_12_14_15_4_12
;41;12;14;15;4;13;41_12_14_15_4_13
;41;12;14;16;9;37;41_12_14_16_9_37
;41;12;14;19;120;2;41_12_14_19_120_2
;41;12;14;19;12;2;41_12_14_19_12_2
;41;12;14;19;12;4;41_12_14_19_12_4
;41;12;14;19;55;21;41_12_14_19_55_21
;41;12;14;20;26;23;41_12_14_20_26_23
;41;12;14;20;26;26;41_12_14_20_26_26
;41;12;14;2;23;2;41_12_14_2_23_2
;41;12;14;2;23;6;41_12_14_2_23_6
;41;12;14;23;50;7;41_12_14_23_50_7
;41;12;14;23;50;9;41_12_14_23_50_9
;41;12;14;24;15;19;41_12_14_24_15_19
;41;12;14;24;15;21;41_12_14_24_15_21
;41;12;14;24;42;2;41_12_14_24_42_2
;41;12;14;24;42;20;41_12_14_24_42_20
;41;12;14;24;42;3;41_12_14_24_42_3
;41;12;14;26;2;6;41_12_14_26_2_6
;41;12;14;26;2;7;41_12_14_26_2_7
;41;12;14;33;3;8;41_12_14_33_3_8
